,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
77,1003070,P00265242,F,18-25,4,C,4+,0,5,8.0,,7159
79,1005220,P00000642,M,26-35,7,B,4+,0,1,6.0,16.0,11949
84,1003280,P00221442,M,26-35,7,B,1,0,1,2.0,5.0,11874
85,1002778,P00059442,M,55+,13,B,3,0,6,8.0,16.0,20552
86,1002872,P00317842,M,26-35,20,B,1,0,8,,,7905
87,1000919,P00239342,F,36-45,1,C,1,0,8,,,9890
88,1000465,P00225142,M,18-25,19,C,2,0,8,14.0,,5991
90,1000333,P00210942,M,36-45,2,A,0,1,5,12.0,,6973
92,1003081,P00221842,M,26-35,7,B,1,1,1,8.0,,11719
93,1004917,P00304042,M,46-50,0,C,0,1,5,,,8840
95,1001842,P00260242,M,18-25,4,B,1,0,5,16.0,,3618
96,1000196,P00274542,F,36-45,9,C,4+,0,6,16.0,,16370
97,1003094,P00269542,M,36-45,0,A,1,0,11,15.0,,4509
98,1004048,P00318142,F,36-45,1,B,1,0,2,,,12980
99,1001595,P00114842,M,36-45,1,C,3,0,5,,,6907
101,1003635,P00088342,M,51-55,1,C,1,0,8,14.0,,6168
102,1000698,P00355142,M,18-25,4,A,1,0,1,15.0,,4072
103,1003263,P00274142,M,51-55,11,A,4+,0,1,,,19443
104,1001733,P00210742,M,18-25,14,B,0,1,16,,,8415
106,1002791,P00051442,M,55+,7,A,1,1,8,17.0,,9786
107,1004522,P00121342,M,46-50,1,C,0,1,1,5.0,18.0,15841
108,1000035,P00327642,M,46-50,1,C,4+,1,18,,,2308
109,1003626,P00296442,M,26-35,17,B,3,0,5,8.0,,5157
110,1001592,P00270942,M,36-45,7,B,4+,1,1,2.0,15.0,15350
111,1005996,P00316742,F,26-35,0,B,1,1,4,5.0,,2737
112,1004014,P00220142,M,26-35,0,C,2,1,1,15.0,,7709
113,1005418,P00085442,F,26-35,0,C,1,1,12,14.0,,1386
114,1003280,P00286642,M,26-35,7,B,1,0,11,14.0,,4560
115,1004132,P00085342,M,26-35,17,C,2,0,10,13.0,,23111
116,1001632,P00177942,M,26-35,16,B,1,0,5,8.0,,2034
117,1005091,P00114942,M,26-35,17,B,1,1,1,15.0,16.0,19458
118,1001260,P00117542,M,26-35,17,B,0,0,18,,,3849
119,1003430,P00214442,F,46-50,1,B,1,1,8,,,7852
120,1001741,P00305442,M,36-45,7,A,4+,1,8,,,7943
121,1005978,P00193542,M,36-45,1,B,2,0,1,2.0,,11722
122,1003890,P00375436,M,18-25,4,C,3,0,20,,,236
123,1000271,P00058042,M,18-25,4,C,1,0,8,16.0,,7879
125,1004579,P00201942,F,18-25,4,B,1,1,8,,,3895
126,1003044,P00180342,M,36-45,16,C,1,1,11,,,7478
127,1001264,P00205942,M,26-35,1,A,3,0,5,8.0,14.0,7162
128,1003864,P00109842,M,51-55,20,C,0,1,8,,,7937
129,1002444,P0095342,F,46-50,4,B,1,1,2,4.0,,13311
131,1004733,P00196342,M,18-25,18,C,1,0,2,9.0,14.0,10141
132,1005000,P0096442,M,26-35,4,B,4+,0,4,5.0,12.0,3479
133,1003930,P00120342,M,55+,3,C,0,1,5,17.0,,8868
134,1004937,P00158342,M,36-45,0,C,1,1,8,,,9961
136,1004034,P00051442,M,26-35,0,C,1,1,8,17.0,,9770
137,1005937,P00140742,M,26-35,12,B,2,1,1,15.0,,15549
138,1003967,P00086042,F,18-25,2,A,1,0,8,14.0,17.0,2233
139,1001139,P00165742,M,26-35,1,C,2,0,8,16.0,,7829
140,1004821,P00017042,M,18-25,19,C,1,0,8,,,9707
141,1002299,P00146742,F,18-25,10,B,4+,0,1,13.0,14.0,8009
142,1004028,P00169642,M,26-35,4,A,2,0,5,,,8738
143,1000192,P00053942,M,18-25,1,B,2,0,1,2.0,5.0,8013
144,1002271,P00048742,M,51-55,14,A,1,0,5,,,7192
145,1001675,P00115142,F,26-35,6,B,1,1,1,8.0,17.0,19030
147,1002885,P00074342,F,18-25,1,A,2,0,5,,,8575
148,1002878,P00244142,F,51-55,20,A,2,1,1,2.0,15.0,11788
149,1002231,P00120342,M,51-55,11,B,1,1,5,17.0,,5402
150,1003513,P00103042,M,26-35,16,C,1,0,1,14.0,,15281
151,1001977,P00119342,M,55+,6,C,2,1,10,13.0,,19011
152,1003402,P00118542,M,36-45,20,B,4+,0,5,8.0,,6878
153,1000201,P00110842,F,36-45,2,A,1,0,1,2.0,5.0,15287
154,1003673,P00007142,M,26-35,2,B,1,0,5,8.0,,5147
155,1001060,P00073842,M,18-25,10,C,1,0,1,15.0,17.0,15711
156,1002085,P00138842,M,18-25,0,C,4+,0,5,,,5291
157,1001261,P00074342,M,18-25,4,C,2,0,5,,,6968
158,1001266,P00190142,M,26-35,4,B,0,1,3,4.0,5.0,13230
159,1001120,P00183342,M,18-25,4,A,0,1,5,15.0,18.0,7146
160,1000529,P00323742,M,36-45,12,C,1,0,8,,,9936
161,1002127,P00249142,M,18-25,4,C,0,1,5,,,6910
162,1005747,P00212042,M,26-35,0,B,4+,1,13,15.0,,770
163,1000242,P00293342,F,18-25,4,A,3,0,8,,,6079
164,1003648,P00258742,M,18-25,4,B,1,0,5,,,6934
165,1001958,P0095642,F,26-35,1,B,3,0,5,,,5291
166,1004484,P00084242,F,26-35,17,C,1,0,8,14.0,,9975
167,1001214,P00100442,M,55+,13,C,1,1,2,4.0,5.0,10058
168,1003007,P00305042,M,36-45,0,C,1,1,11,13.0,16.0,1504
169,1004425,P00260042,M,36-45,7,B,1,0,5,8.0,,8581
171,1005990,P00265442,F,26-35,20,B,1,1,5,,,3584
172,1004801,P00111242,M,26-35,4,C,3,0,1,18.0,,19136
173,1001491,P00117442,M,18-25,4,B,1,0,5,14.0,,6951
174,1000889,P00118142,M,46-50,20,A,1,0,8,17.0,,6154
175,1002185,P00100842,M,46-50,17,C,2,1,5,,,6977
176,1001430,P00006242,M,18-25,4,B,2,1,5,,,5463
177,1003102,P00338442,M,26-35,12,C,3,1,1,16.0,,15226
178,1002796,P00199442,M,26-35,14,B,3,0,5,9.0,,3743
179,1003127,P00086342,F,26-35,0,B,2,1,8,,,9967
182,1003416,P00186642,M,26-35,12,B,4+,1,2,4.0,15.0,9733
184,1001242,P00106742,F,36-45,0,A,0,1,3,5.0,,13191
185,1005136,P00140742,M,26-35,12,B,1,0,1,15.0,,15590
186,1005535,P00329542,M,26-35,15,B,1,1,1,15.0,16.0,15891
188,1005019,P00182742,M,26-35,7,A,4+,0,1,2.0,14.0,3810
189,1003719,P00238542,M,26-35,1,C,3,1,5,14.0,,6971
190,1001448,P00277642,F,26-35,3,A,1,0,2,3.0,10.0,12856
192,1005894,P00142942,M,36-45,0,C,1,0,1,2.0,16.0,15194
193,1004577,P00220642,M,36-45,7,C,0,1,8,,,7907
194,1005937,P00100842,M,26-35,12,B,2,1,5,,,7028
195,1005508,P00250842,M,26-35,20,C,1,0,8,,,5847
197,1003989,P00150542,M,51-55,12,A,0,1,5,,,8768
198,1004904,P00110042,M,51-55,15,B,1,1,5,14.0,,8647
199,1000524,P00149342,M,18-25,0,A,0,0,13,16.0,,955
200,1005682,P00132942,M,18-25,0,B,2,0,1,,,7858
201,1005113,P00214142,M,26-35,0,A,3,1,8,,,6049
202,1004794,P00028542,F,36-45,0,C,0,0,6,8.0,14.0,4491
203,1000721,P00151142,F,36-45,9,B,1,0,6,16.0,,12243
204,1002595,P00000142,M,18-25,4,B,1,0,3,4.0,5.0,10861
205,1001410,P00368042,M,51-55,7,B,3,1,2,15.0,,16493
206,1003189,P00192742,M,26-35,16,A,1,0,11,16.0,,4598
208,1004579,P00062742,F,18-25,4,B,1,1,8,17.0,,7989
209,1001653,P00216342,M,18-25,0,A,4+,0,3,4.0,5.0,8295
210,1000146,P0095842,F,36-45,20,B,3,1,3,4.0,12.0,11019
211,1006030,P00225842,M,26-35,17,C,1,1,2,4.0,15.0,9884
213,1000780,P00163542,M,26-35,17,B,3,0,2,4.0,5.0,12915
214,1000746,P00313342,F,18-25,19,B,3,0,5,,,5211
215,1003773,P00126242,M,36-45,6,B,1,0,2,4.0,5.0,6393
216,1001579,P00039642,M,26-35,0,A,0,0,8,,,5987
219,1002785,P00327242,M,55+,13,C,1,1,5,8.0,,7136
220,1002842,P00054242,M,36-45,17,C,4+,0,1,6.0,14.0,11401
221,1005555,P00146042,M,0-17,10,B,2,0,1,13.0,15.0,12113
222,1006000,P00187442,M,46-50,17,B,2,1,2,4.0,5.0,6980
223,1003777,P00087042,M,18-25,4,B,0,0,10,14.0,16.0,23608
224,1002747,P00116842,F,18-25,4,B,2,0,2,5.0,8.0,16192
225,1005324,P00187842,M,26-35,7,C,0,1,1,16.0,,11714
226,1001897,P00322542,F,51-55,2,A,1,1,8,,,7929
227,1001988,P00253942,F,26-35,1,B,2,0,8,,,5848
228,1005576,P0096442,M,26-35,4,C,3,0,4,5.0,12.0,3499
229,1003681,P00259342,M,26-35,7,B,3,0,5,9.0,,7184
230,1002684,P00249642,F,18-25,0,C,3,1,3,5.0,,10629
231,1000882,P00350442,M,18-25,2,C,4+,0,2,3.0,15.0,15906
233,1001714,P00120442,M,26-35,17,C,0,1,8,,,7954
234,1001978,P00187442,M,0-17,10,C,4+,0,2,4.0,5.0,12901
235,1004633,P00015342,M,0-17,0,B,1,0,2,4.0,,16423
236,1000109,P00169742,M,46-50,15,C,1,1,1,8.0,15.0,11911
237,1002185,P00114042,M,46-50,17,C,2,1,5,14.0,,8745
238,1003454,P00220442,M,18-25,0,A,1,1,5,14.0,,7028
239,1005824,P00046742,M,18-25,12,B,1,0,1,2.0,15.0,11731
241,1000623,P00015742,M,26-35,17,C,3,1,7,,,16811
242,1001548,P00317942,M,36-45,1,A,3,0,8,16.0,,5881
244,1001605,P00184342,F,18-25,0,B,1,0,8,,,6017
245,1003051,P00156142,M,18-25,17,B,0,0,5,8.0,,3618
247,1004897,P00193542,M,36-45,16,B,3,0,1,2.0,,15815
248,1000518,P00103342,F,36-45,12,C,4+,0,8,,,9859
249,1004813,P00319842,F,36-45,9,C,3,1,3,5.0,,13229
251,1000777,P00260142,M,18-25,19,B,1,0,5,14.0,,5167
252,1004942,P00288042,M,46-50,12,B,3,1,8,,,7956
254,1001966,P00129642,M,26-35,20,C,2,0,5,,,8877
256,1003619,P00090842,M,51-55,16,B,3,1,11,15.0,,4478
257,1000631,P00270942,M,36-45,17,C,3,1,1,2.0,15.0,12052
258,1000424,P00123842,M,26-35,17,A,3,0,11,15.0,,6090
261,1001647,P00346342,M,18-25,18,B,0,0,1,15.0,,15400
262,1004271,P00324642,M,36-45,7,B,2,0,8,,,4106
264,1001764,P00149542,M,18-25,0,B,1,0,1,6.0,13.0,7617
266,1001726,P00157542,M,26-35,2,B,1,1,8,14.0,,2070
267,1003760,P00334242,M,51-55,0,B,0,1,1,8.0,,19206
268,1002665,P00365242,M,36-45,11,B,1,0,5,8.0,,5192
269,1000550,P00252042,M,46-50,8,B,1,1,5,14.0,,5401
270,1003213,P00101842,F,26-35,1,C,3,0,6,16.0,,4464
271,1004058,P00313042,M,26-35,6,B,3,1,5,14.0,,3595
272,1005982,P00220442,M,36-45,1,B,4+,0,5,14.0,,8722
275,1004964,P00129342,M,36-45,0,A,1,1,1,5.0,15.0,15560
276,1003390,P00286442,F,46-50,20,C,1,1,8,,,8083
277,1003017,P00080042,F,36-45,9,B,1,0,5,14.0,,6877
278,1005076,P00015842,M,26-35,3,B,4+,0,1,14.0,16.0,11786
279,1002340,P00322042,M,36-45,2,A,2,0,5,8.0,,8662
280,1005107,P00146042,F,46-50,0,B,0,0,1,13.0,15.0,4515
281,1002223,P00210042,M,26-35,2,B,0,1,8,14.0,,7856
282,1003291,P00079442,F,26-35,7,B,4+,0,8,,,7951
283,1005605,P00236542,F,18-25,2,A,0,0,8,11.0,,7809
284,1002015,P00063342,M,18-25,4,B,4+,0,1,2.0,9.0,12087
285,1003778,P00026142,M,26-35,0,B,4+,1,5,,,3762
286,1005519,P00193542,M,36-45,15,C,3,0,1,2.0,,7711
287,1005234,P00265742,F,26-35,0,A,4+,1,5,12.0,,5278
288,1002125,P00154042,M,36-45,3,C,0,0,1,2.0,15.0,11518
289,1001465,P00195542,M,51-55,16,B,4+,1,2,12.0,,13135
290,1002258,P00134342,F,18-25,4,B,4+,0,5,,,7057
291,1002523,P00004742,M,26-35,17,B,0,0,6,16.0,,19922
292,1002777,P00247042,M,18-25,4,B,2,0,5,14.0,,8786
293,1005100,P00195242,M,51-55,6,B,1,1,8,,,10025
295,1001587,P00001542,F,26-35,3,B,3,0,1,2.0,14.0,11761
296,1002097,P00179742,M,18-25,5,C,0,0,11,,,3172
297,1002529,P00236942,F,36-45,9,A,3,0,12,,,1775
299,1000384,P00111842,M,26-35,11,B,3,1,8,,,7874
300,1005061,P00148342,F,18-25,19,C,2,1,5,,,8568
301,1002511,P00205942,M,26-35,7,C,2,0,5,8.0,14.0,6917
302,1003509,P00155142,M,18-25,4,A,0,0,1,16.0,,15273
303,1003539,P00155442,F,26-35,4,A,1,1,1,11.0,15.0,15613
304,1004802,P00192942,M,55+,1,B,3,1,5,,,8663
305,1000284,P00192742,M,26-35,12,B,3,1,11,16.0,,1726
306,1005953,P00255842,M,0-17,10,B,0,0,16,,,20792
307,1000802,P00118342,M,26-35,16,B,1,0,2,3.0,15.0,13225
308,1000411,P00368142,F,46-50,1,B,0,1,2,15.0,,13177
309,1005571,P0094542,F,26-35,9,C,2,0,2,4.0,9.0,13113
310,1001390,P00220342,M,36-45,16,C,3,1,5,,,5354
311,1001764,P00040042,M,18-25,0,B,1,0,5,,,8674
312,1001639,P00170642,M,26-35,17,B,1,0,5,8.0,,7191
313,1001232,P00135742,F,18-25,4,C,2,0,6,8.0,,15933
314,1005518,P00114942,M,51-55,17,B,3,1,1,15.0,16.0,19100
315,1000639,P0094842,M,46-50,17,B,2,1,4,8.0,,2837
316,1004933,P00119442,M,26-35,15,B,3,0,5,,,8780
317,1004661,P00325542,M,46-50,15,B,4+,1,18,,,2292
319,1004269,P00270842,M,36-45,18,B,1,1,5,,,5340
320,1000889,P00229842,M,46-50,20,A,1,0,5,14.0,,1999
321,1003844,P00359742,M,18-25,4,C,3,1,1,5.0,,8009
322,1000795,P00265242,F,36-45,14,B,1,0,5,8.0,,5477
323,1001993,P00220342,M,36-45,17,C,4+,1,5,,,8899
324,1001680,P00055242,M,26-35,20,A,3,1,11,,,6049
325,1005946,P0099042,F,55+,1,A,0,0,5,12.0,14.0,5448
326,1002261,P00265242,M,26-35,5,C,1,0,5,8.0,,6931
327,1004534,P00074442,M,18-25,4,C,1,0,1,16.0,,11854
328,1004425,P00025142,M,36-45,7,B,1,0,13,16.0,,584
329,1003868,P00024642,M,18-25,12,C,0,0,5,14.0,,5242
330,1001767,P00114442,M,26-35,20,C,1,0,5,6.0,,8845
333,1004112,P00199442,M,46-50,18,B,3,1,5,9.0,,8608
334,1004411,P00218942,M,18-25,4,A,3,0,5,,,1827
335,1001609,P00102542,F,36-45,9,B,3,0,8,,,9845
336,1004059,P00336942,M,26-35,14,C,1,1,5,,,3709
337,1004088,P00335442,M,26-35,3,B,4+,1,1,15.0,,8282
338,1002466,P00246342,M,26-35,15,B,4+,0,11,15.0,,6115
339,1001494,P00368142,M,26-35,17,C,3,1,2,15.0,,12816
340,1004258,P00003942,M,26-35,17,B,2,0,5,14.0,,6858
341,1000695,P00193542,F,18-25,1,A,2,0,1,2.0,,15850
342,1003386,P00230842,M,18-25,4,B,3,0,8,,,9961
343,1001671,P00110042,M,36-45,0,B,2,0,5,14.0,,8730
344,1005841,P00111142,F,36-45,7,A,4+,1,1,15.0,16.0,15548
345,1004819,P00253142,M,36-45,18,B,1,0,1,2.0,5.0,19154
346,1005225,P00036842,M,18-25,4,C,4+,1,1,14.0,16.0,11894
347,1004796,P00170642,M,36-45,7,A,4+,1,5,8.0,,6931
348,1002381,P00250342,F,36-45,9,B,2,0,16,,,12507
349,1002148,P00242742,F,18-25,0,B,0,1,1,2.0,9.0,15894
350,1004261,P00136842,F,36-45,6,C,3,0,1,8.0,16.0,15271
353,1001271,P00178942,F,46-50,6,C,3,1,5,8.0,,8624
354,1002000,P00216742,M,18-25,4,C,1,0,5,,,7032
355,1000919,P00141542,F,36-45,1,C,1,0,5,,,8786
357,1004306,P00198042,M,46-50,7,C,1,1,11,16.0,,7576
358,1004227,P00150442,M,26-35,19,A,0,0,5,,,1754
359,1003312,P00110842,F,18-25,4,A,3,0,1,2.0,5.0,19672
360,1002876,P00100442,M,26-35,17,C,1,1,2,4.0,5.0,12761
361,1004374,P00032042,M,18-25,4,B,1,0,1,2.0,15.0,15384
363,1003713,P00214442,F,26-35,7,B,1,1,8,,,9703
364,1003841,P00152742,M,46-50,18,A,4+,0,5,,,5355
367,1001152,P00063342,M,18-25,4,C,2,0,1,2.0,9.0,11797
368,1001879,P00268442,M,26-35,4,C,1,1,8,17.0,,6059
369,1001230,P00221442,M,26-35,11,B,2,0,1,2.0,5.0,11622
370,1001100,P00108542,M,26-35,0,B,0,1,5,8.0,14.0,7131
372,1003050,P00122442,M,36-45,12,B,1,0,1,11.0,15.0,11404
373,1002883,P00251242,M,18-25,20,B,3,0,5,11.0,,5145
374,1001655,P00144042,M,18-25,4,C,2,1,2,3.0,4.0,9586
375,1005656,P00080342,M,26-35,15,B,2,0,1,6.0,8.0,15218
376,1001826,P00112542,M,46-50,11,C,1,1,1,11.0,15.0,11408
377,1005996,P00347142,F,26-35,0,B,1,1,5,,,6903
378,1000953,P00114942,M,51-55,20,B,1,1,1,15.0,16.0,19561
379,1005701,P00304642,M,26-35,7,C,4+,0,2,14.0,15.0,9897
380,1005145,P00166742,M,36-45,7,C,2,1,5,16.0,,1761
381,1003706,P00174442,M,26-35,12,C,3,1,5,,,8580
383,1000963,P00189242,M,26-35,0,A,0,1,5,,,3555
384,1002092,P00004742,M,55+,1,B,4+,1,6,16.0,,16634
386,1003387,P00118242,M,18-25,1,B,3,1,5,8.0,,5182
387,1002230,P00018942,F,46-50,1,B,4+,1,8,,,3927
388,1000092,P00194342,F,18-25,4,B,1,0,3,4.0,,8080
389,1003675,P00347142,M,36-45,7,B,3,0,5,,,3708
390,1001449,P00100742,M,36-45,20,A,1,1,5,17.0,,6938
391,1005342,P00145742,F,36-45,7,B,2,0,1,2.0,,15585
392,1002969,P00046742,M,26-35,7,C,4+,1,1,2.0,15.0,15497
393,1001669,P00216342,F,26-35,17,B,1,1,3,4.0,5.0,10896
394,1001797,P00111842,M,36-45,7,C,2,0,8,,,10067
397,1002571,P00350142,M,36-45,17,C,4+,0,8,17.0,,7798
398,1005177,P00005142,M,46-50,14,C,0,1,5,,,5423
402,1000173,P00184442,M,26-35,0,B,1,1,1,6.0,8.0,11548
403,1002141,P00313242,F,51-55,16,C,0,1,8,,,9781
404,1000336,P00323942,M,18-25,0,C,4+,0,8,15.0,,9752
405,1000352,P00110542,M,18-25,4,A,0,0,8,,,9934
406,1001579,P00178242,M,26-35,0,A,0,0,8,,,9877
407,1004155,P0097142,M,51-55,17,C,1,0,12,,,1712
408,1003288,P00260042,M,26-35,14,A,4+,0,5,8.0,,6928
409,1001209,P00050442,M,36-45,7,C,1,1,1,8.0,13.0,8028
410,1004456,P00189842,F,36-45,2,C,4+,0,3,4.0,5.0,10718
411,1000531,P00173242,F,18-25,14,B,0,0,5,,,5444
412,1004593,P00189642,F,46-50,1,B,0,1,8,13.0,,5890
414,1000551,P00188842,M,36-45,20,A,4+,1,8,,,9950
415,1005565,P00369742,M,18-25,17,C,2,0,5,,,8889
416,1004347,P00000642,F,18-25,20,C,1,0,1,6.0,16.0,15295
417,1005469,P00344142,M,36-45,12,C,2,0,18,,,3003
418,1004957,P00249642,M,26-35,2,A,1,1,3,5.0,,10782
419,1000266,P00121342,M,36-45,11,C,3,0,1,5.0,18.0,19013
422,1004596,P00143642,F,18-25,4,B,1,0,1,2.0,6.0,8201
423,1001965,P00156442,M,55+,17,C,1,0,8,,,5985
424,1002408,P00231242,F,46-50,1,C,2,1,16,,,12422
425,1001060,P00363442,M,18-25,10,C,1,0,1,,,15704
426,1004126,P00057642,M,26-35,17,B,1,0,1,15.0,16.0,19248
428,1003024,P00157542,M,36-45,17,A,4+,0,8,14.0,,6083
429,1002611,P00102042,M,26-35,3,B,4+,0,5,,,7017
430,1000390,P00324442,M,26-35,4,A,0,0,11,13.0,16.0,7594
431,1003760,P00069542,M,51-55,0,B,0,1,5,,,6903
432,1000962,P00117542,F,26-35,1,C,1,1,18,,,3051
433,1003620,P00218142,M,26-35,7,A,1,0,1,2.0,,8208
435,1000762,P00244042,M,0-17,10,C,2,0,1,2.0,15.0,15671
436,1004411,P0096142,M,18-25,4,A,3,0,3,4.0,,13631
437,1003318,P00111842,M,55+,13,C,4+,1,8,,,7888
438,1001176,P00052842,M,55+,1,C,1,1,10,15.0,,19192
441,1001099,P00070342,M,26-35,17,C,4+,0,1,2.0,14.0,4009
442,1004055,P00047242,M,51-55,0,B,4+,1,1,5.0,,4365
443,1005245,P00293042,F,46-50,1,B,2,1,8,,,6010
444,1006007,P00121642,M,36-45,17,C,2,0,5,14.0,,7194
445,1002453,P00127642,M,26-35,7,B,0,0,1,2.0,15.0,11373
446,1003332,P00021742,M,26-35,7,B,2,1,5,,,8650
447,1001484,P00076142,M,26-35,12,C,1,0,8,,,7940
449,1003371,P00029242,M,26-35,2,A,3,0,8,,,6092
450,1002436,P00084442,M,26-35,7,B,2,0,13,16.0,,772
451,1003391,P00198642,M,18-25,4,A,0,0,8,14.0,,7779
453,1005636,P00134342,M,26-35,7,A,0,1,5,,,5356
454,1005472,P00223242,M,36-45,1,C,0,1,5,14.0,,3562
455,1001439,P00088242,M,36-45,3,C,1,1,6,10.0,13.0,20518
456,1004834,P00338442,F,46-50,9,C,1,1,1,16.0,,11400
457,1003829,P00142942,F,26-35,1,B,1,0,1,2.0,16.0,15810
459,1001861,P00357042,M,51-55,16,A,1,1,5,,,5176
460,1005990,P00177342,F,26-35,20,B,1,1,8,,,10073
461,1003356,P00252442,M,36-45,7,C,2,1,8,,,9754
463,1002188,P00242742,F,18-25,19,B,4+,0,1,2.0,9.0,11718
464,1004790,P00019442,F,26-35,2,A,4+,1,8,12.0,,5980
466,1002121,P00241142,M,55+,13,C,0,1,8,,,7757
467,1002281,P00220442,M,46-50,11,A,4+,0,5,14.0,,8600
468,1005198,P00006242,F,18-25,4,B,0,0,5,,,3530
469,1003414,P00146742,M,26-35,17,C,1,1,1,13.0,14.0,19413
470,1000225,P00193242,M,26-35,7,A,0,0,6,8.0,,12069
471,1001639,P00179142,M,26-35,17,B,1,0,11,,,6142
472,1005924,P00044442,M,36-45,0,B,0,1,1,16.0,,15288
473,1002967,P00348942,M,26-35,0,A,1,0,8,13.0,,5887
474,1002489,P00137242,F,36-45,9,B,1,0,5,,,5363
475,1000284,P00050442,M,26-35,12,B,3,1,1,8.0,13.0,11541
476,1001917,P00015642,M,18-25,10,B,1,0,8,16.0,17.0,5854
478,1003259,P00146042,F,18-25,4,A,2,0,1,13.0,15.0,11903
479,1005433,P00226242,F,36-45,17,B,3,1,11,15.0,,2996
481,1004302,P00187342,M,51-55,1,C,1,0,4,5.0,15.0,2144
483,1001181,P00112142,M,36-45,7,A,3,1,1,2.0,14.0,11945
